,ALIMENTOS,ESTADO,COMPOSICION,,,,,,VITAMINAS,,,,,SUSTANCIAS MINERALES,,,,,,,,, AMINOACIDOS ,,,,,,,,ACID,ALCAL
117,mostaza,cruda,20,2.10,0.30,3.80,92.3,1.3,6800.00,75.00,190.00,70000.00,750.00,37.00,420.00,180.00,27.00,3.10,0.12,45.00,170.00,89.00,,,,,,,,,23,
118,nabos,crudos,30,1.80,0.30,5.80,90.7,0.7,9000.00,80.00,380.00,60000.00,500.00,58.00,330.00,60.00,8.50,0.90,0.08,36.00,29.00,52.00,151.00,102.00,198,132.00,51.00,123.00,47.00,152.00,,62
119,nabos,cocidos,21,1.30,0.20,4.70,93.8,0.5,7500.00,40.00,130.00,28000.00,400.00,32.00,160.00,55.00,6.60,0.80,0.04,27.00,21.20,31.40,,,,,,,,,,52
120,patata,cruda,85,2.10,0.20,19.00,77.8,1,30.00,100.00,45.00,16000.00,1200.00,6.50,430.00,10.10,26.00,0.75,0.16,52.00,30.00,56.00,91.00,91.00,99.00,112.00,23.00,81.00,19.00,110.00,,86
121,patata,cocida,65,1.70,0.30,15.40,82,0.6,10.00,45.00,25.00,9000.00,700.00,225.00,280.00,6.10,15.00,0.48,0.11,32.00,22.20,40.70,75.00,77.00,89.00,89.00,18.00,68.00,21.00,89.00,,53
122,patata,asada,110,2.60,0.70,29.40,65.2,1.3,20.00,110.00,50.00,16000.00,1200.00,8.60,745.00,12.00,32.00,0.90,0.20,29.00,56.30,103.00,,,,,,,,,,128
123,patata,frita,230,3.30,10.60,30.10,55,1.5,30.00,105.00,67.00,16000.00,1800.00,11.70,1020.00,16.00,43.30,1.20,0.27,82.00,44.70,140.00,,,,,,,,,,196
124,patata,pure,121,1.80,5.50,16.30,75.6,0.7,150.00,80.00,50.00,7000.00,800.00,24.00,302.00,21.00,14.40,0.50,0.10,42.00,23.50,71.00,,,,,,,,,,51
125,patata,almidon,350,1.80,0.90,81.80,14.1,1.3,220.00,273.00,,,,6.10,426.00,6.50,20.30,0.74,0.13,31.20,28.30,71.20,,,,,,,,,,
126,pepino,crudo,10,0.70,0.15,2.70,96.3,0.4,125.00,40.00,40.00,8500.00,200.00,8.00,140.00,18.00,9.00,0.30,0.09,22.00,11.50,27.00,,,,,,,,,,51
127,perejil,crudo,50,3.9,0.90,8.80,93.9,2.4,8500.00,115.00,280.00,191000.00,1200.00,30.00,920.00,240.00,52.20,5.30,0.26,92.00,,156.00,,,,,,,,,,
128,pimienta,crudo,28,1.20,0.20,5.90,92.4,0.5,700.00,47.00,65.00,118000.00,300.00,36.00,175.00,7.00,12.00,0.40,0.10,27.00,19.00,,,,,,,,,,,
129,pimiento,crudo,27,1.30,0.60,7.20,90.1,0.7,820.00,48.00,40.00,121000.00,400.00,0.50,186.00,11.00,12.00,0.40,0.10,26.00,19.00,19.00,,,,,,,,,,17
130,pimiento,cocidos,18,0.90,0.25,4.50,94.1,0.6,2000.00,18.00,75.00,111000.00,500.00,,,8.00,,0.80,,16.00,,,,,,,,,,,,
131,puerros,crudo,37,2.80,0.35,7.70,88.6,1.3,900.00,120.00,40.00,22000.00,500.00,8.90,315.00,62.00,46.10,2.80,0.12,45.20,72.20,69.50,,,,,,,,,,72
132,puerros,cocidos,25,2.30,,4.90,91.5,1.1,,85,,,,6.40,278.00,60.50,12.50,2.00,0.09,27.50,48.90,42.60,,,,,,,,,,55
133,rabanos,crudo,18,1.20,0.10,3.6,93.7,1.5,30.00,55,32.00,26000.00,280.00,38.00,240.00,43.00,13.00,0.13,0.13,27.00,36.00,25.00,,,,,,,,,,51
134,remolacha,cruda,43,1.80,0.10,10.60,85.7,1.1,55.00,65.00,70.00,10000.00,380.00,73.00,392.00,37.00,27.00,1.10,0.18,41.30,27.40,75.00,31.00,49.00,57.00,82.00,7.00,33.00,17.00,48.00,,110
135,remolacha,cocida,35,1.90,0.10,8.90,87.9,0.9,18.00,22.00,36.00,6500.00,250.00,64.00,350.00,27.00,16.90,0.70,0.14,29.00,22.10,75.50,,,,,,,,,,89
136,repollo,crudo,25,1.60,0.20,5.20,92.1,0.8,1780.00,75.00,90.00,51000.00,,18.00,228.00,49.00,27.00,3.20,,43.00,64.00,14.20,,,,,,,,,,82
137,salsifi,cocidos,18,1.90,,2.18,94.3,,,,,,,8.40,183.00,60,14.20,1.23,0.12,53.00,25.00,46.00,,,,,,,,,,29
138,seta,cruda,17,1.90,0.30,3.80,92.8,,,35.00,250.00,6000.00,3000.00,5.00,520.00,7.20,,0.90,,95.00,,,,528,291,,172,,6,372,,
139,seta,frita,217,2.20,24.30,5.80,67.2,,,60.00,,,,11.00,568.00,3.5,16.00,1.25,0.66,166.00,73.80,103.00,,,,,,,,,16,
140,tomate,cruda,21,1.30,0.25,4.00,93.6,0.60,1300.00,70.00,40.00,27000.00,450.00,3.00,258.00,11.50,13.00,0.50,0.90,24.00,12.20,48.00,30.00,31.00,39.00,40.00,7.00,35.00,10.00,27.00,,55.00
141,tomate,cocida,19,1.00,0.10,3.80,94.5,0.40,1000.00,60.00,30.00,16000.00,700.00,20.00,220.00,11.00,12.00,0.60,0.09,22.00,14.00,63.00,,,,,,,,,,
142,tomate,frito,73,2.30,6.20,4.20,86.5,0.31,,,,,,3.30,277.00,36,12.40,0.56,0.10,23.00,7.90,,,,,,,,,,,
143,tomate,jugo,18,0.80,1.20,3.50,93.6,1.00,1050.00,50.00,30.00,16000.00,800.00,126.00,270.00,7.00,10.00,0.40,,15.00,5.00,39.00,,,,,,,,,,
144,trufa,fresca,63,7.60,0.50,6.60,82.1,,,,,,,77.00,400.00,24,18.00,,,62.00,,,,,,,,,,,,
145,trufa,seca,260,36.90,2.00,28.90,6.4,,,,,,,,,,,,,,,,,,,,,,,,,
146,verduras (medio),crudas,23,1.30,0.20,38.00,,,2500.00,100.00,100.00,35000.00,600.00,,,49.00,,,,,,,,,,,,,,,,
147,zanahoria,cruda,40,1.10,0.30,8.80,88.80,0.70,11000.00,75.00,70.00,6000.00,500.00,76.00,281.00,44.00,15.00,0.80,0.90,34.00,17.00,54.00,39.00,43.00,67.00,49.00,9.00,38.00,9.00,58.00,,98.00
148,zanahoria,cocida,27,0.80,0.40,6.1,91.6,0.25,9000.00,32.00,28,2000,470.00,80.00,107.00,32.00,7.60,0.60,0.08,24.00,8.00,29.20,,,,,,,,,,53
